   2017      2      1   12.00       744.00   0.28608E+02   0.00000E+00   0.28608E+02   0.28410E+02   0.28655E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.76922E+01   0.46310E+02  -0.10824E+03  -0.28061E+02   0.82191E-03   0.61799E-21   0.23637E-05       0.29     243.74     0.0000  0.00   0.15310E-01   0.35033E-01    28.6505    28.6543    28.4241    25.1506    23.7324
   2017      2      2   12.00       768.00   0.28882E+02   0.00000E+00   0.28882E+02   0.28709E+02   0.28938E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10817E+02   0.52874E+02  -0.12027E+03  -0.25501E+02   0.87372E-03   0.17257E-19   0.27239E-05       0.29     216.58     0.0000  0.00   0.14027E-01  -0.75151E-01    28.9318    28.9365    28.7609    25.5687    24.1041
   2017      2      3   12.00       792.00   0.28485E+02   0.00000E+00   0.28485E+02   0.28369E+02   0.28538E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.99711E+01   0.51374E+02  -0.11746E+03  -0.28258E+02   0.79513E-03   0.26545E-18   0.21340E-05       0.29     234.63     0.0000  0.00   0.83597E-02  -0.92102E-01    28.5322    28.5366    28.5149    25.6206    23.9675
   2017      2      4   12.00       816.00   0.29121E+02   0.00000E+00   0.29121E+02   0.28993E+02   0.29168E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.85477E+01   0.53742E+02  -0.12144E+03  -0.26842E+02   0.39183E-03   0.10115E-20   0.16059E-06       0.29     285.92     0.0000  0.00  -0.25796E-03  -0.24668E-01    29.1632    29.1672    29.0818    26.3648    24.9414
   2017      2      5   12.00       840.00   0.29301E+02   0.00000E+00   0.29301E+02   0.29196E+02   0.29358E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10447E+02   0.49904E+02  -0.11884E+03  -0.23080E+02   0.25652E-03   0.14653E-19   0.30144E-07       0.29     198.67     0.0000  0.00  -0.15937E-02  -0.31416E-02    29.3515    29.3565    29.3155    26.6196    24.9566
   2017      2      6   12.00       864.00   0.28812E+02   0.00000E+00   0.28812E+02   0.28732E+02   0.28861E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.90577E+01   0.44671E+02  -0.10778E+03  -0.24825E+02   0.32794E-03   0.15344E-18   0.10078E-06       0.28     210.97     0.0000  0.00   0.11456E-02  -0.18776E-01    28.8554    28.8597    28.8560    26.4337    24.5529
   2017      2      7   12.00       888.00   0.29094E+02   0.00000E+00   0.29094E+02   0.29008E+02   0.29144E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10658E+02   0.50394E+02  -0.11405E+03  -0.21459E+02   0.68637E-03   0.87299E-18   0.10349E-05       0.28     204.52     0.0000  0.00   0.82897E-02  -0.50184E-01    29.1372    29.1420    29.1135    26.7605    25.0737
   2017      2      8   12.00       912.00   0.28431E+02   0.00000E+00   0.28431E+02   0.28379E+02   0.28482E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10758E+02   0.40243E+02  -0.97645E+02  -0.20919E+02   0.99375E-03   0.24637E-16   0.46921E-05       0.28     141.81     0.0000  0.00   0.14666E-01  -0.12951E+00    28.4751    28.4797    28.4811    26.4219    24.3405
   2017      2      9   12.00       936.00   0.28197E+02   0.00000E+00   0.28197E+02   0.28143E+02   0.28242E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.87525E+01   0.37507E+02  -0.92966E+02  -0.20057E+02   0.12113E-02   0.34824E-17   0.11584E-04       0.28     186.83     0.0000  0.00   0.21042E-01  -0.23542E+00    28.2372    28.2406    28.2403    26.2871    24.4446
   2017      2     10   12.00       960.00   0.28303E+02   0.00000E+00   0.28303E+02   0.28251E+02   0.28353E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.94852E+01   0.43049E+02  -0.10184E+03  -0.19583E+02   0.14578E-02   0.74030E-17   0.23526E-04       0.28     187.57     0.0000  0.00   0.39440E-01  -0.29419E+00    28.3472    28.3512    28.3476    26.4232    24.7938
   2017      2     11   12.00       984.00   0.27860E+02   0.00000E+00   0.27860E+02   0.27834E+02   0.27916E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10840E+02   0.42860E+02  -0.98677E+02  -0.19014E+02   0.17559E-02   0.57975E-15   0.46132E-04       0.28     131.45     0.0000  0.00   0.53380E-01  -0.44030E+00    27.9088    27.9135    27.9150    26.2447    24.3905
   2017      2     12   12.00      1008.00   0.27020E+02   0.00000E+00   0.27020E+02   0.27013E+02   0.27074E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10748E+02   0.37266E+02  -0.86292E+02  -0.17000E+02   0.20185E-02   0.70465E-14   0.79151E-04       0.28      96.40     0.0000  0.00   0.76516E-01  -0.53334E+00    27.0665    27.0714    27.0731    25.7346    23.7405
   2017      2     13   12.00      1032.00   0.26253E+02   0.00000E+00   0.26253E+02   0.26252E+02   0.26299E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.91471E+01   0.28812E+02  -0.69656E+02  -0.13779E+02   0.18553E-02   0.82645E-14   0.61876E-04       0.28      82.21     0.0000  0.00   0.59804E-01  -0.50785E+00    26.2928    26.2970    26.2983    25.2225    23.3479
   2017      2     14   12.00      1056.00   0.25646E+02   0.00000E+00   0.25646E+02   0.25646E+02   0.25690E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.81308E+01   0.25240E+02  -0.63170E+02  -0.13238E+02   0.18923E-02   0.39500E-14   0.77345E-04       0.28      79.10     0.0000  0.00  -0.33891E-01  -0.63540E+00    25.6842    25.6882    25.6894    24.6963    23.0422
   2017      2     15   12.00      1080.00   0.25367E+02   0.00000E+00   0.25367E+02   0.25354E+02   0.25399E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.56716E+01   0.25795E+02  -0.66272E+02  -0.16819E+02   0.20995E-02   0.40119E-14   0.11609E-03       0.27     152.47     0.0000  0.00  -0.99615E-01  -0.57303E+00    25.3951    25.3976    25.3900    24.4652    23.2234
   2017      2     16   12.00      1104.00   0.26272E+02   0.00000E+00   0.26272E+02   0.26179E+02   0.26299E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.48816E+01   0.27097E+02  -0.78592E+02  -0.20213E+02   0.10110E-02   0.15372E-25   0.12588E-04       0.27     231.35     0.0000  0.00  -0.33936E-01  -0.60709E-01    26.2971    26.2920    26.0657    24.9546    24.2793
   2017      2     17   12.00      1128.00   0.27156E+02   0.00000E+00   0.27156E+02   0.27046E+02   0.27197E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.66989E+01   0.36792E+02  -0.99943E+02  -0.22407E+02   0.77537E-03   0.14561E-22   0.21784E-05       0.27     248.90     0.0000  0.00  -0.48763E-02   0.10988E+00    27.1930    27.1957    26.9107    25.5272    25.0037
   2017      2     18   12.00      1152.00   0.27841E+02   0.00000E+00   0.27841E+02   0.27737E+02   0.27885E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.65487E+01   0.40882E+02  -0.10497E+03  -0.23161E+02   0.93708E-03   0.28066E-21   0.45722E-05       0.27     249.81     0.0000  0.00   0.69851E-02   0.15289E+00    27.8810    27.8845    27.6746    26.0476    25.5023
   2017      2     19   12.00      1176.00   0.28358E+02   0.00000E+00   0.28358E+02   0.28257E+02   0.28405E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.83051E+01   0.42254E+02  -0.10481E+03  -0.22299E+02   0.69403E-03   0.10770E-20   0.22470E-05       0.27     222.34     0.0000  0.00   0.70098E-02   0.83938E-01    28.4001    28.4039    28.2456    26.4009    25.6712
   2017      2     20   12.00      1200.00   0.28324E+02   0.00000E+00   0.28324E+02   0.28259E+02   0.28373E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10273E+02   0.43621E+02  -0.10821E+03  -0.21406E+02   0.55335E-03   0.82052E-18   0.42763E-06       0.27     180.80     0.0000  0.00  -0.61604E-02   0.23877E-01    28.3668    28.3716    28.3430    26.4835    25.4176
   2017      2     21   12.00      1224.00   0.27912E+02   0.00000E+00   0.27912E+02   0.27888E+02   0.27964E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10787E+02   0.42918E+02  -0.10985E+03  -0.21717E+02   0.48947E-03   0.24162E-16   0.30251E-06       0.27     174.39     0.0000  0.00  -0.54625E-02   0.68969E-02    27.9570    27.9619    27.9635    26.4784    25.0882
   2017      2     22   12.00      1248.00   0.27742E+02   0.00000E+00   0.27742E+02   0.27734E+02   0.27790E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10143E+02   0.42157E+02  -0.10927E+03  -0.20096E+02   0.55980E-03   0.10853E-15   0.59025E-06       0.27     200.35     0.0000  0.00  -0.74154E-02  -0.19332E-02    27.7837    27.7883    27.7897    26.6300    25.2988
   2017      2     23   12.00      1272.00   0.27940E+02   0.00000E+00   0.27940E+02   0.27938E+02   0.27991E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.91784E+01   0.45564E+02  -0.11499E+03  -0.20134E+02   0.85510E-03   0.10449E-15   0.25408E-05       0.27     235.93     0.0000  0.00  -0.16213E-01  -0.29038E-01    27.9850    27.9892    27.9903    26.9346    25.8424
   2017      2     24   12.00      1296.00   0.28366E+02   0.00000E+00   0.28366E+02   0.28369E+02   0.28419E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.88546E+01   0.49835E+02  -0.12396E+03  -0.20466E+02   0.87646E-03   0.18096E-15   0.27555E-05       0.26     255.23     0.0000  0.00  -0.16785E-01  -0.42512E-01    28.4125    28.4169    28.4180    27.4488    26.5059
   2017      2     25   12.00      1320.00   0.28634E+02   0.00000E+00   0.28634E+02   0.28642E+02   0.28687E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.97859E+01   0.49645E+02  -0.12262E+03  -0.18844E+02   0.55767E-03   0.50318E-15   0.69909E-06       0.26     223.62     0.0000  0.00   0.48079E-03  -0.23091E-01    28.6797    28.6846    28.6861    27.8008    26.7576
   2017      2     26   12.00      1344.00   0.28381E+02   0.00000E+00   0.28381E+02   0.28403E+02   0.28437E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11066E+02   0.48453E+02  -0.11828E+03  -0.16464E+02   0.86737E-03   0.65704E-13   0.22647E-05       0.26     173.20     0.0000  0.00   0.12036E-01  -0.77045E-01    28.4285    28.4338    28.4357    27.7228    26.4879
   2017      2     27   12.00      1368.00   0.27917E+02   0.00000E+00   0.27917E+02   0.27944E+02   0.27967E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.96776E+01   0.46534E+02  -0.11198E+03  -0.14305E+02   0.61459E-03   0.13928E-12   0.76826E-06       0.26     186.04     0.0000  0.00   0.33808E-02  -0.59728E-01    27.9593    27.9642    27.9659    27.4868    26.3975
   2017      2     28   12.00      1392.00   0.27966E+02   0.00000E+00   0.27966E+02   0.27993E+02   0.28015E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.88459E+01   0.47644E+02  -0.11141E+03  -0.14896E+02   0.62232E-03   0.47770E-13   0.88794E-06       0.26     196.30     0.0000  0.00   0.71472E-02  -0.39501E-01    28.0076    28.0123    28.0139    27.5854    26.7928
   2017      3      1   12.00      1416.00   0.27767E+02   0.00000E+00   0.27767E+02   0.27805E+02   0.27822E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.85908E+01   0.47006E+02  -0.10989E+03  -0.14603E+02   0.13107E-02   0.25578E-11   0.17827E-04       0.26     177.85     0.0000  0.00   0.21200E-01  -0.27855E+00    27.8157    27.8201    27.8215    27.4759    26.6614
   2017      3      2   12.00      1440.00   0.27776E+02   0.00000E+00   0.27776E+02   0.27813E+02   0.27826E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.71625E+01   0.46983E+02  -0.11122E+03  -0.15982E+02   0.13990E-02   0.15750E-11   0.22240E-04       0.26     227.42     0.0000  0.00  -0.24306E-02  -0.37489E+00    27.8200    27.8239    27.8241    27.5864    27.0463
   2017      3      3   12.00      1464.00   0.28486E+02   0.00000E+00   0.28486E+02   0.28505E+02   0.28532E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.67611E+01   0.47077E+02  -0.11304E+03  -0.19722E+02   0.91118E-03   0.37009E-16   0.45753E-05       0.26     262.25     0.0000  0.00  -0.16563E-01  -0.10802E+00    28.5270    28.5306    28.5242    28.1010    27.7656
   2017      3      4   12.00      1488.00   0.28949E+02   0.00000E+00   0.28949E+02   0.28962E+02   0.28999E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.94258E+01   0.47578E+02  -0.11590E+03  -0.18789E+02   0.65162E-03   0.22647E-14   0.76576E-06       0.25     206.01     0.0000  0.00  -0.91196E-02   0.12528E-01    28.9920    28.9967    28.9916    28.3626    27.7487
   2017      3      5   12.00      1512.00   0.28767E+02   0.00000E+00   0.28767E+02   0.28788E+02   0.28814E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.87476E+01   0.45159E+02  -0.10954E+03  -0.19404E+02   0.40725E-03   0.54338E-14   0.24199E-06       0.25     212.35     0.0000  0.00  -0.24350E-02   0.20195E-01    28.8078    28.8121    28.8117    28.2713    27.4239
   2017      3      6   12.00      1536.00   0.29373E+02   0.00000E+00   0.29373E+02   0.29380E+02   0.29421E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.79646E+01   0.52350E+02  -0.12006E+03  -0.19805E+02   0.35033E-03   0.75360E-17   0.72300E-07       0.25     263.67     0.0000  0.00   0.25958E-02   0.86500E-02    29.4150    29.4190    29.4078    28.7351    28.1533
   2017      3      7   12.00      1560.00   0.29861E+02   0.00000E+00   0.29861E+02   0.29875E+02   0.29913E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.89599E+01   0.55621E+02  -0.12957E+03  -0.20917E+02   0.36964E-03   0.17675E-15   0.81204E-07       0.25     262.12     0.0000  0.00   0.27949E-02   0.88753E-02    29.9064    29.9110    29.9121    29.2032    28.5206
   2017      3      8   12.00      1584.00   0.30257E+02   0.00000E+00   0.30257E+02   0.30275E+02   0.30309E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10440E+02   0.59464E+02  -0.13713E+03  -0.20420E+02   0.62736E-03   0.39051E-14   0.77316E-06       0.25     269.02     0.0000  0.00   0.90784E-02  -0.13503E-02    30.3014    30.3063    30.3077    29.6537    28.8843
   2017      3      9   12.00      1608.00   0.30541E+02   0.00000E+00   0.30541E+02   0.30570E+02   0.30596E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11912E+02   0.66448E+02  -0.14721E+03  -0.18326E+02   0.81076E-03   0.11940E-12   0.16456E-05       0.25     267.71     0.0000  0.00   0.12143E-01  -0.48054E-01    30.5878    30.5933    30.5951    30.0970    29.2982
   2017      3     10   12.00      1632.00   0.30610E+02   0.00000E+00   0.30610E+02   0.30651E+02   0.30667E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12123E+02   0.69602E+02  -0.15077E+03  -0.14217E+02   0.74036E-03   0.81836E-11   0.11736E-05       0.25     260.67     0.0000  0.00   0.83104E-02  -0.60924E-01    30.6582    30.6639    30.6659    30.4028    29.7005
