flux,chamber,pond,datetime_start,datetime_end,slope_ppm_hr,n_obs_included_in_lm,r2,air_temp,sur_wat_temp,umol_m2_hr,mmol_m2_hr,date,time,time24
87,1,B,7/4/24 22:58,7/4/24 23:12,0.415551986,29,0.00480857,15.95172414,13.60689655,6.006873199,0.006006873,7/4/24,22:58:53,22.96666667
88,1,B,7/4/24 23:24,7/4/24 23:37,1.203563676,29,0.026982857,15.82758621,13.59344828,17.40518712,0.017405187,7/4/24,23:24:00,23.4
89,1,B,7/4/24 23:49,7/5/24 0:03,0.130220264,29,0.000557189,15.87241379,13.58448276,1.882872145,0.001882872,7/4/24,23:49:08,23.81666667
90,1,B,7/5/24 0:14,7/5/24 0:28,0.309239519,29,0.004298124,15.79655172,13.55103448,4.472509339,0.004472509,7/5/24,0:14:16,0.233333333
91,1,B,7/5/24 0:39,7/5/24 0:53,-1.911447251,29,0.170630331,15.79310345,13.5137931,-27.64545665,-0.027645457,7/5/24,0:39:23,0.65
92,1,B,7/5/24 1:04,7/5/24 1:18,-1.247551634,29,0.073034669,15.62758621,13.49137931,-18.05380848,-0.018053808,7/5/24,1:04:31,1.066666667
93,1,B,7/5/24 1:29,7/5/24 1:43,0.917014145,29,0.047194787,15.67931034,13.46586207,13.26809447,0.013268094,7/5/24,1:29:39,1.483333333
94,1,B,7/5/24 1:54,7/5/24 2:08,-0.282147507,29,0.001665772,15.5862069,13.41,-4.083652272,-0.004083652,7/5/24,1:54:46,1.9
95,1,B,7/5/24 2:19,7/5/24 2:33,-1.534673789,29,0.053646017,15.4,13.39758621,-22.22638233,-0.022226382,7/5/24,2:19:54,2.316666667
96,1,B,7/5/24 2:45,7/5/24 2:58,-0.29840093,29,0.00290006,15.37241379,13.35275862,-4.322095898,-0.004322096,7/5/24,2:45:02,2.75
97,1,B,7/5/24 3:10,7/5/24 3:24,0.421170902,29,0.007490196,15.24827586,13.33275862,6.102945375,0.006102945,7/5/24,3:10:09,3.166666667
98,1,B,7/5/24 3:35,7/5/24 3:49,-1.801769139,29,0.089679672,15.17586207,13.29310345,-26.1149578,-0.026114958,7/5/24,3:35:17,3.583333333
99,1,B,7/5/24 4:00,7/5/24 4:14,1.138313902,29,0.059333036,15.14482759,13.25103448,16.50057098,0.016500571,7/5/24,4:00:25,4
100,1,B,7/5/24 4:25,7/5/24 4:39,-1.803048588,29,0.083299083,14.83448276,13.22551724,-26.16448108,-0.026164481,7/5/24,4:25:32,4.416666667
101,1,B,7/5/24 4:50,7/5/24 5:04,-2.98336765,29,0.242969475,14.96206897,13.20448276,-43.27320962,-0.04327321,7/5/24,4:50:40,4.833333333
102,1,B,7/5/24 5:15,7/5/24 5:29,-0.550550821,29,0.008240005,14.74827586,13.1837931,-7.991570486,-0.00799157,7/5/24,5:15:48,5.25
103,1,B,7/5/24 5:40,7/5/24 5:54,-1.136836013,29,0.044764013,14.65517241,13.12172414,-16.50718473,-0.016507185,7/5/24,5:40:56,5.666666667
104,1,B,7/5/24 6:06,7/5/24 6:19,-0.736465028,29,0.031855891,14.54482759,13.10551724,-10.69778482,-0.010697785,7/5/24,6:06:03,6.1
105,1,B,7/5/24 6:31,7/5/24 6:45,-0.730086848,29,0.026329141,14.58965517,13.09586207,-10.6034841,-0.010603484,7/5/24,6:31:11,6.516666667
106,1,B,7/5/24 6:56,7/5/24 7:10,-0.094798014,29,0.000187709,14.38965517,13.04275862,-1.3777654,-0.001377765,7/5/24,6:56:18,6.933333333
107,1,B,7/5/24 7:21,7/5/24 7:35,-2.108581417,29,0.092163095,14.52068966,13.01448276,-30.63151971,-0.03063152,7/5/24,7:21:26,7.35
108,1,B,7/5/24 7:46,7/5/24 8:00,-1.322343016,29,0.042603788,14.48965517,13.00655172,-19.21184836,-0.019211848,7/5/24,7:46:34,7.766666667
109,1,B,7/5/24 8:11,7/5/24 8:25,-1.33935883,29,0.071481887,14.63448276,12.99517241,-19.44927224,-0.019449272,7/5/24,8:11:41,8.183333333
110,1,B,7/5/24 8:36,7/5/24 8:50,0.071385147,29,0.000231142,14.74827586,12.97241379,1.036197584,0.001036198,7/5/24,8:36:49,8.6
111,1,B,7/5/24 9:01,7/5/24 9:15,-0.546023544,29,0.010251511,14.91724138,12.98413793,-7.921205477,-0.007921205,7/5/24,9:01:57,9.016666667
112,1,B,7/5/24 9:27,7/5/24 9:40,-0.174486282,29,0.001344677,15.10344828,12.97137931,-2.529650721,-0.002529651,7/5/24,9:27:04,9.45
113,1,B,7/5/24 9:52,7/5/24 10:06,-0.459677035,29,0.009563754,15.03103448,13.00034483,-6.665936851,-0.006665937,7/5/24,9:52:12,9.866666667
114,1,B,7/5/24 10:17,7/5/24 10:31,1.273372423,29,0.039662837,15.35172414,13.02896552,18.44509137,0.018445091,7/5/24,10:17:19,10.28333333
115,1,B,7/5/24 10:42,7/5/24 10:56,2.932227879,29,0.251708537,15.82758621,13.09172414,42.40405049,0.04240405,7/5/24,10:42:27,10.7
116,1,B,7/5/24 11:07,7/5/24 11:21,2.345876732,29,0.145607898,16.85862069,13.13827586,33.80399769,0.033803998,7/5/24,11:07:35,11.11666667
117,1,B,7/5/24 11:32,7/5/24 11:46,2.176134435,29,0.205335817,17.19310345,13.21172414,31.32189217,0.031321892,7/5/24,11:32:42,11.53333333
118,1,B,7/5/24 11:57,7/5/24 12:11,3.9083898,29,0.262738337,17.93103448,13.35137931,56.11225795,0.056112258,7/5/24,11:57:50,11.95
119,1,B,7/5/24 12:22,7/5/24 12:36,1.628284393,29,0.106810832,18.11724138,13.42310345,23.36212811,0.023362128,7/5/24,12:22:58,12.36666667
120,1,B,7/5/24 12:48,7/5/24 13:02,0.687894773,29,0.023357823,18,13.52275862,9.873678874,0.009873679,7/5/24,12:48:06,12.8
121,1,B,7/5/24 13:13,7/5/24 13:27,2.172772613,29,0.138302377,18.5,13.58206897,31.1333663,0.031133366,7/5/24,13:13:13,13.21666667
122,1,B,7/5/24 13:38,7/5/24 13:52,2.527004078,29,0.275764445,18.74137931,13.67931034,36.17915819,0.036179158,7/5/24,13:38:21,13.63333333
123,1,B,7/5/24 14:03,7/5/24 14:17,5.84838911,29,0.649098094,19.8137931,13.85896552,83.42497655,0.083424977,7/5/24,14:03:28,14.05
124,1,B,7/5/24 14:28,7/5/24 14:42,3.373372687,29,0.502611736,20.81724138,13.97724138,47.95558253,0.047955583,7/5/24,14:28:36,14.46666667
125,1,B,7/5/24 14:53,7/5/24 15:07,3.319599167,29,0.51490389,20.96896552,14.12137931,47.16679868,0.047166799,7/5/24,14:53:43,14.88333333
126,1,B,7/5/24 15:18,7/5/24 15:32,1.831362351,29,0.179431476,21.30344828,14.29517241,25.99150459,0.025991505,7/5/24,15:18:51,15.3
127,1,B,7/5/24 15:43,7/5/24 15:57,4.349619153,29,0.527378007,21.43103448,14.44482759,61.70498241,0.061704982,7/5/24,15:43:58,15.71666667
128,1,B,7/5/24 16:09,7/5/24 16:23,4.16991164,29,0.519296578,22.62068966,14.65517241,58.91766164,0.058917662,7/5/24,16:09:06,16.15
129,1,B,7/5/24 16:34,7/5/24 16:48,2.036131889,29,0.193681401,21.8137931,14.83137931,28.84768583,0.028847686,7/5/24,16:34:13,16.56666667
130,1,B,7/5/24 16:59,7/5/24 17:13,1.738342025,29,0.207096647,21.59655172,14.97034483,24.64678519,0.024646785,7/5/24,16:59:21,16.98333333
131,1,B,7/5/24 17:24,7/5/24 17:38,1.115066199,29,0.105670993,20.67586207,15.05482759,15.85931466,0.015859315,7/5/24,17:24:29,17.4
132,1,B,7/5/24 17:49,7/5/24 18:03,-0.186573891,29,0.001770173,20.95172414,15.07793103,-2.651105937,-0.002651106,7/5/24,17:49:36,17.81666667
133,1,B,7/5/24 18:14,7/5/24 18:28,1.920728385,29,0.196780677,20.06206897,15.07448276,27.37523749,0.027375237,7/5/24,18:14:44,18.23333333
134,1,B,7/5/24 18:39,7/5/24 18:53,-0.231499142,29,0.002490506,20.39310345,15.26586207,-3.295727442,-0.003295727,7/5/24,18:39:51,18.65
135,1,B,7/5/24 19:04,7/5/24 19:18,0.741906159,29,0.024415023,18.48965517,15.28827586,10.63105056,0.010631051,7/5/24,19:04:59,19.06666667
136,1,B,7/5/24 19:30,7/5/24 19:44,1.046888517,29,0.029672794,17.5137931,15.15,15.0516213,0.015051621,7/5/24,19:30:07,19.5
137,1,B,7/5/24 19:55,7/5/24 20:09,0.550061658,29,0.011465485,17.13793103,15.13413793,7.918741703,0.007918742,7/5/24,19:55:14,19.91666667
138,1,B,7/5/24 20:20,7/5/24 20:34,1.795508009,29,0.078644059,17.03103448,15.10793103,25.85783177,0.025857832,7/5/24,20:20:22,20.33333333
139,1,B,7/5/24 20:45,7/5/24 20:59,1.681599823,29,0.078717796,16.61034483,15.0462069,24.25255436,0.024252554,7/5/24,20:45:31,20.75
140,1,B,7/5/24 21:10,7/5/24 21:24,-0.292544189,29,0.004058286,16.21724138,14.97344828,-4.224894755,-0.004224895,7/5/24,21:10:39,21.16666667
141,1,B,7/5/24 21:35,7/5/24 21:49,2.033694862,29,0.11862612,15.9,14.91103448,29.4026586,0.029402659,7/5/24,21:35:46,21.58333333
142,1,B,7/5/24 22:00,7/5/24 22:14,0.228085522,29,0.001615273,15.53793103,14.83896552,3.301740023,0.00330174,7/5/24,22:00:54,22
143,1,B,7/5/24 22:26,7/5/24 22:39,2.754686646,29,0.192543269,15.19310345,14.73172414,39.92421803,0.039924218,7/5/24,22:26:02,22.43333333
144,1,B,7/5/24 22:51,7/5/24 23:05,0.291307238,29,0.002068072,14.49655172,14.67344828,4.232197111,0.004232197,7/5/24,22:51:09,22.85
145,1,B,7/5/24 23:16,7/5/24 23:30,1.565073782,29,0.095802531,14.66551724,14.58586207,22.72450307,0.022724503,7/5/24,23:16:17,23.26666667
146,1,B,7/5/24 23:41,7/5/24 23:55,1.033138098,29,0.021660677,14.22068966,14.51482759,15.02414236,0.015024142,7/5/24,23:41:25,23.68333333
147,1,B,7/6/24 0:06,7/6/24 0:20,0.134514748,29,0.000457653,13.75862069,14.42896552,1.95929617,0.001959296,7/6/24,0:06:33,0.1
148,1,B,7/6/24 0:31,7/6/24 0:45,-0.352229168,29,0.003242579,13.49310345,14.34448276,-5.13520284,-0.005135203,7/6/24,0:31:40,0.516666667
149,1,B,7/6/24 0:56,7/6/24 1:10,1.756673222,29,0.09303162,13.7137931,14.27413793,25.59110437,0.025591104,7/6/24,0:56:48,0.933333333
150,1,B,7/6/24 1:21,7/6/24 1:35,0.963347329,29,0.045110816,14.22068966,14.15551724,14.00922824,0.014009228,7/6/24,1:21:56,1.35
151,1,B,7/6/24 1:47,7/6/24 2:00,1.07643105,29,0.046613221,14.10344828,14.07068966,15.66010788,0.015660108,7/6/24,1:47:03,1.783333333
152,1,B,7/6/24 2:12,7/6/24 2:26,-0.362495811,29,0.003076361,13.84827586,14.00241379,-5.278341535,-0.005278342,7/6/24,2:12:11,2.2
153,1,B,7/6/24 2:37,7/6/24 2:51,-1.846402706,29,0.092060713,13.07586207,13.92413793,-26.95822783,-0.026958228,7/6/24,2:37:19,2.616666667
154,1,B,7/6/24 3:02,7/6/24 3:16,0.046200091,29,4.62191951484891e-05,12.91724138,13.86137931,0.674914072,0.000674914,7/6/24,3:02:26,3.033333333
155,1,B,7/6/24 3:27,7/6/24 3:41,0.968660641,29,0.017494981,13.44827586,13.7737931,14.12446035,0.01412446,7/6/24,3:27:34,3.45
156,1,B,7/6/24 3:52,7/6/24 4:06,0.686072397,29,0.008596378,13.41034483,13.67241379,10.00524295,0.010005243,7/6/24,3:52:42,3.866666667
157,1,B,7/6/24 4:17,7/6/24 4:31,0.201031909,29,0.000699905,13.4,13.60724138,2.931827192,0.002931827,7/6/24,4:17:49,4.283333333
158,1,B,7/6/24 4:42,7/6/24 4:56,0.324980841,29,0.0023949,13.4,13.51,4.739484735,0.004739485,7/6/24,4:42:57,4.7
159,1,B,7/6/24 5:08,7/6/24 5:21,-1.290709401,29,0.026048155,12.83448276,13.42758621,-18.860786,-0.018860786,7/6/24,5:08:05,5.133333333
160,1,B,7/6/24 5:33,7/6/24 5:47,-1.08211743,29,0.021801949,12.62758621,13.37172414,-15.82413621,-0.015824136,7/6/24,5:33:13,5.55
161,1,B,7/6/24 5:58,7/6/24 6:12,1.214276525,29,0.030282947,13.15862069,13.28965517,17.72380479,0.017723805,7/6/24,5:58:20,5.966666667
162,1,B,7/6/24 6:23,7/6/24 6:37,0.859228923,29,0.011750139,13.04482759,13.22689655,12.54645088,0.012546451,7/6/24,6:23:28,6.383333333
163,1,B,7/6/24 6:48,7/6/24 7:02,0.085148048,29,0.00013084,12.30344828,13.14965517,1.246559994,0.00124656,7/6/24,6:48:36,6.8
164,1,B,7/6/24 7:13,7/6/24 7:27,0.270567852,29,0.00235616,12.29310345,13.0862069,3.961233318,0.003961233,7/6/24,7:13:43,7.216666667
165,1,B,7/6/24 7:38,7/6/24 7:52,0.778028142,29,0.014652294,12.14827586,13.0337931,11.39645927,0.011396459,7/6/24,7:38:51,7.633333333
166,1,B,7/6/24 8:03,7/6/24 8:17,1.261638506,29,0.022564459,12.86896552,12.9637931,18.43375824,0.018433758,7/6/24,8:03:59,8.05
167,1,B,7/6/24 8:29,7/6/24 8:43,0.706314217,29,0.011933092,12.50689655,12.9262069,10.333014,0.010333014,7/6/24,8:29:06,8.483333333
168,1,B,7/6/24 8:54,7/6/24 9:08,0.587542949,29,0.005829654,12.67586207,12.8737931,8.590370198,0.00859037,7/6/24,8:54:14,8.9
169,1,B,7/6/24 9:19,7/6/24 9:33,0.149612831,29,0.000293067,12.76551724,12.79724138,2.186779013,0.002186779,7/6/24,9:19:22,9.316666667
170,1,B,7/6/24 9:44,7/6/24 9:58,0.095060024,29,0.000187722,12.99310345,12.78517241,1.388316294,0.001388316,7/6/24,9:44:29,9.733333333
171,1,B,7/6/24 10:09,7/6/24 10:23,3.32985454,29,0.193865285,13.54482759,12.73448276,48.53769945,0.048537699,7/6/24,10:09:37,10.15
172,1,B,7/6/24 10:34,7/6/24 10:48,2.370525506,29,0.095120689,13.6,12.71172414,34.54736985,0.03454737,7/6/24,10:34:44,10.56666667
173,1,B,7/6/24 10:59,7/6/24 11:13,2.022861088,29,0.069795733,13.83103448,12.74448276,29.45687332,0.029456873,7/6/24,10:59:52,10.98333333
174,1,B,7/6/24 11:25,7/6/24 11:38,2.574102245,29,0.10946297,14,12.73034483,37.46198247,0.037461982,7/6/24,11:25:00,11.41666667
175,1,B,7/6/24 11:50,7/6/24 12:04,0.979693154,29,0.015278863,14.22068966,12.74517241,14.24693315,0.014246933,7/6/24,11:50:08,11.83333333
176,1,B,7/6/24 12:15,7/6/24 12:29,4.182784975,29,0.272346266,14.02758621,12.73103448,60.86796497,0.060867965,7/6/24,12:15:15,12.25
177,1,B,7/6/24 12:40,7/6/24 12:54,3.275889055,29,0.153263421,13.95172414,12.6962069,47.68339488,0.047683395,7/6/24,12:40:23,12.66666667
178,1,B,7/6/24 13:05,7/6/24 13:19,1.263886065,29,0.035124959,13.9,12.69068966,18.40026839,0.018400268,7/6/24,13:05:31,13.08333333
179,1,B,7/6/24 13:30,7/6/24 13:44,-0.307849294,29,0.002132028,14.34137931,12.64862069,-4.474938995,-0.004474939,7/6/24,13:30:38,13.5
180,1,B,7/6/24 13:55,7/6/24 14:09,2.224238341,29,0.094932039,14.72758621,12.70862069,32.28845419,0.032288454,7/6/24,13:55:46,13.91666667
181,1,B,7/6/24 14:20,7/6/24 14:34,1.368104859,29,0.03922742,14.7,12.70275862,19.86218099,0.019862181,7/6/24,14:20:53,14.33333333
182,1,B,7/6/24 14:46,7/6/24 14:59,1.579476291,29,0.067344179,14.80689655,12.68344828,22.9223643,0.022922364,7/6/24,14:46:01,14.76666667
183,1,B,7/6/24 15:11,7/6/24 15:25,3.853749012,29,0.249846892,15.24827586,12.73827586,55.84246108,0.055842461,7/6/24,15:11:09,15.18333333
184,1,B,7/6/24 15:36,7/6/24 15:50,4.698272581,29,0.420687137,15.71724138,12.73413793,67.96944117,0.067969441,7/6/24,15:36:16,15.6
185,1,B,7/6/24 16:01,7/6/24 16:15,1.211778517,29,0.03777295,16.54137931,12.78655172,17.48080631,0.017480806,7/6/24,16:01:24,16.01666667
186,1,B,7/6/24 16:26,7/6/24 16:40,4.998564679,29,0.515473194,16.74482759,12.86172414,72.0574075,0.072057408,7/6/24,16:26:31,16.43333333
187,1,B,7/6/24 16:51,7/6/24 17:05,1.191304373,29,0.05586499,16.82068966,12.90793103,17.16889791,0.017168898,7/6/24,16:51:39,16.85
188,1,B,7/6/24 17:16,7/6/24 17:30,1.421367078,29,0.103647509,17.04827586,12.97310345,20.46846185,0.020468462,7/6/24,17:16:47,17.26666667
189,1,B,7/6/24 17:41,7/6/24 17:55,2.266180306,29,0.175198592,16.63793103,12.97862069,32.68044416,0.032680444,7/6/24,17:41:55,17.68333333
190,1,B,7/6/24 18:07,7/6/24 18:20,1.395309975,29,0.088842154,16.22068966,13.00862069,20.15069099,0.020150691,7/6/24,18:07:02,18.11666667
191,1,B,7/6/24 18:32,7/6/24 18:46,2.099840867,29,0.14002911,16.19655172,13.04241379,30.32786624,0.030327866,7/6/24,18:32:10,18.53333333
192,1,B,7/6/24 18:57,7/6/24 19:11,2.393581581,29,0.203184379,16.02413793,13.04103448,34.59095625,0.034590956,7/6/24,18:57:17,18.95
193,1,B,7/6/24 19:22,7/6/24 19:36,2.471144798,29,0.145000709,15.97586207,13.03655172,35.71782759,0.035717828,7/6/24,19:22:25,19.36666667
194,1,B,7/6/24 19:47,7/6/24 20:01,2.176315393,29,0.139470779,15.9137931,13.05172414,31.46312966,0.03146313,7/6/24,19:47:33,19.78333333
195,1,B,7/6/24 20:12,7/6/24 20:26,2.28687884,29,0.149188703,16.04827586,13.06172414,33.04617817,0.033046178,7/6/24,20:12:40,20.2
196,1,B,7/6/24 20:37,7/6/24 20:51,1.893265537,29,0.097403591,16.07241379,13.06,27.35604861,0.027356049,7/6/24,20:37:48,20.61666667
197,1,B,7/6/24 21:02,7/6/24 21:16,3.040986825,29,0.320833648,16.32413793,13.06275862,43.90141849,0.043901418,7/6/24,21:02:56,21.03333333
198,1,B,7/6/24 21:28,7/6/24 21:41,2.348280166,29,0.246088517,15.87586207,13.03724138,33.95369071,0.033953691,7/6/24,21:28:04,21.46666667
199,1,B,7/6/24 21:53,7/6/24 22:07,1.655003645,29,0.111588006,15.80344828,13.05482759,23.93562966,0.02393563,7/6/24,21:53:11,21.88333333
200,1,B,7/6/24 22:18,7/6/24 22:32,1.267498025,29,0.066486087,15.6862069,13.04517241,18.33873783,0.018338738,7/6/24,22:18:19,22.3
