   2019      6     24   12.00      8592.00   0.15939E+02   0.00000E+00   0.15939E+02   0.16121E+02   0.16173E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.37649E+02   0.81361E+02  -0.15114E+03  -0.63373E+02   0.81034E-02   0.28687E-03   0.29747E-01       0.16     147.33     0.0000  0.00  -0.81039E-01   0.22585E+02    16.1022    16.1311    16.1387    16.1450    16.1640
   2019      6     25   12.00      8616.00   0.15832E+02   0.00000E+00   0.15832E+02   0.15958E+02   0.16006E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.23084E+02   0.62335E+02  -0.11959E+03  -0.67430E+02   0.49768E-02   0.58506E-04   0.59127E-02       0.16     166.65     0.0000  0.00  -0.90364E-01   0.90728E+01    15.9411    15.9659    15.9710    15.9770    16.0024
   2019      6     26   12.00      8640.00   0.16564E+02   0.00000E+00   0.16564E+02   0.16595E+02   0.16638E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.71645E+01   0.38195E+02  -0.87202E+02  -0.77707E+02   0.24523E-02   0.11797E-04   0.18561E-03       0.16     218.64     0.0000  0.00   0.49463E-01   0.14098E+01    16.5889    16.5956    16.5982    16.6034    16.6375
   2019      6     27   12.00      8664.00   0.17513E+02   0.00000E+00   0.17513E+02   0.17591E+02   0.17638E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.87502E+01   0.60815E+02  -0.11772E+03  -0.81005E+02   0.38681E-02   0.24392E-04   0.17893E-02       0.16     239.35     0.0000  0.00   0.14266E+00   0.38576E+01    17.5798    17.5959    17.5998    17.6057    17.6370
   2019      6     28   12.00      8688.00   0.17900E+02   0.00000E+00   0.17900E+02   0.18041E+02   0.18092E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.19271E+02   0.78738E+02  -0.14344E+03  -0.70166E+02   0.57515E-02   0.67353E-04   0.77182E-02       0.16     204.24     0.0000  0.00   0.14667E+00   0.11398E+02    18.0227    18.0496    18.0549    18.0617    18.0854
   2019      6     29   12.00      8712.00   0.17868E+02   0.00000E+00   0.17868E+02   0.18010E+02   0.18055E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.24589E+02   0.66561E+02  -0.12977E+03  -0.55088E+02   0.50195E-02   0.49809E-04   0.48554E-02       0.16     158.11     0.0000  0.00   0.13852E+00   0.86441E+01    17.9922    18.0198    18.0247    18.0305    18.0508
   2019      6     30   12.00      8736.00   0.17774E+02   0.00000E+00   0.17774E+02   0.17888E+02   0.17926E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.23389E+02   0.50791E+02  -0.11280E+03  -0.49093E+02   0.38304E-02   0.23468E-04   0.14470E-02       0.16     140.18     0.0000  0.00   0.13081E+00   0.41905E+01    17.8711    17.8955    17.8998    17.9044    17.9253
   2019      7      1   12.00      8760.00   0.17719E+02   0.00000E+00   0.17719E+02   0.17810E+02   0.17843E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.21556E+02   0.46572E+02  -0.11186E+03  -0.44095E+02   0.28770E-02   0.17142E-04   0.41617E-03       0.16     124.97     0.0000  0.00   0.73721E-02   0.26725E+01    17.7972    17.8157    17.8196    17.8236    17.8423
   2019      7      2   12.00      8784.00   0.17154E+02   0.00000E+00   0.17154E+02   0.17307E+02   0.17347E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.30881E+02   0.62775E+02  -0.13427E+03  -0.38773E+02   0.37947E-02   0.22955E-04   0.14780E-02       0.16      95.89     0.0000  0.00  -0.60404E-01   0.47438E+01    17.2864    17.3171    17.3225    17.3276    17.3447
   2019      7      3   12.00      8808.00   0.16492E+02   0.00000E+00   0.16492E+02   0.16643E+02   0.16688E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.31327E+02   0.58430E+02  -0.12574E+03  -0.46611E+02   0.43636E-02   0.30616E-04   0.25145E-02       0.16     109.03     0.0000  0.00  -0.34026E-01   0.67477E+01    16.6220    16.6534    16.6589    16.6647    16.6843
   2019      7      4   12.00      8832.00   0.16354E+02   0.00000E+00   0.16354E+02   0.16464E+02   0.16505E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.22909E+02   0.53472E+02  -0.11425E+03  -0.57065E+02   0.37087E-02   0.23135E-04   0.13442E-02       0.16     143.50     0.0000  0.00   0.55330E-01   0.45828E+01    16.4470    16.4724    16.4771    16.4822    16.5047
   2019      7      5   12.00      8856.00   0.16656E+02   0.00000E+00   0.16656E+02   0.16719E+02   0.16762E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.12991E+02   0.46278E+02  -0.10538E+03  -0.73951E+02   0.32673E-02   0.17433E-04   0.67511E-03       0.16     200.58     0.0000  0.00   0.12779E+00   0.14994E+00    16.7085    16.7228    16.7265    16.7318    16.7615
   2019      7      6   12.00      8880.00   0.17511E+02   0.00000E+00   0.17511E+02   0.17592E+02   0.17642E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.54078E+01   0.57623E+02  -0.12258E+03  -0.91412E+02   0.47648E-02   0.39169E-04   0.37941E-02       0.16     263.12     0.0000  0.00   0.73225E-01  -0.75092E+01    17.5802    17.5962    17.6005    17.6074    17.6402
   2019      7      7   12.00      8904.00   0.18377E+02   0.00000E+00   0.18377E+02   0.18494E+02   0.18551E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.46027E+01   0.81178E+02  -0.15430E+03  -0.96102E+02   0.60322E-02   0.82848E-04   0.92376E-02       0.16     281.48     0.0000  0.00  -0.66728E-01  -0.13011E+02    18.4789    18.5002    18.5054    18.5134    18.5430
   2019      7      8   12.00      8928.00   0.18882E+02   0.00000E+00   0.18882E+02   0.19030E+02   0.19089E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.13463E+02   0.87996E+02  -0.16689E+03  -0.86668E+02   0.55211E-02   0.59969E-04   0.63223E-02       0.16     253.93     0.0000  0.00  -0.18843E+00  -0.98822E+01    19.0108    19.0387    19.0442    19.0524    19.0810
   2019      7      9   12.00      8952.00   0.18986E+02   0.00000E+00   0.18986E+02   0.19156E+02   0.19213E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.23737E+02   0.86355E+02  -0.16840E+03  -0.76255E+02   0.57527E-02   0.66361E-04   0.75499E-02       0.16     219.23     0.0000  0.00  -0.23776E+00  -0.10303E+02    19.1358    19.1670    19.1726    19.1802    19.2050
   2019      7     10   12.00      8976.00   0.18716E+02   0.00000E+00   0.18716E+02   0.18940E+02   0.18999E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.33156E+02   0.93924E+02  -0.18078E+03  -0.65990E+02   0.59432E-02   0.75678E-04   0.87037E-02       0.16     180.00     0.0000  0.00  -0.18673E+00  -0.11996E+02    18.9159    18.9546    18.9608    18.9681    18.9891
   2019      7     11   12.00      9000.00   0.18392E+02   0.00000E+00   0.18392E+02   0.18486E+02   0.18521E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.22015E+02   0.53416E+02  -0.12465E+03  -0.50951E+02   0.25660E-02   0.18996E-04   0.83109E-03       0.16     138.69     0.0000  0.00  -0.53106E-01  -0.13117E+01    18.4741    18.4914    18.4954    18.5001    18.5196
   2019      7     12   12.00      9024.00   0.18262E+02   0.00000E+00   0.18262E+02   0.18331E+02   0.18362E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.19757E+02   0.42792E+02  -0.10913E+03  -0.48753E+02   0.17377E-02   0.10588E-04   0.16169E-03       0.16     135.44     0.0000  0.00   0.91340E-02   0.74335E+00    18.3227    18.3343    18.3377    18.3418    18.3618
   2019      7     13   12.00      9048.00   0.18111E+02   0.00000E+00   0.18111E+02   0.18232E+02   0.18274E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.26489E+02   0.62981E+02  -0.14231E+03  -0.57088E+02   0.34735E-02   0.20208E-04   0.95036E-03       0.16     152.72     0.0000  0.00   0.11720E+00  -0.27449E+01    18.2154    18.2395    18.2444    18.2501    18.2720
   2019      7     14   12.00      9072.00   0.17433E+02   0.00000E+00   0.17433E+02   0.17672E+02   0.17737E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.43477E+02   0.92952E+02  -0.20750E+03  -0.72799E+02   0.53449E-02   0.44566E-04   0.48993E-02       0.16     173.46     0.0000  0.00   0.27914E+00  -0.65395E+01    17.6433    17.6867    17.6942    17.7029    17.7285
   2019      7     15   12.00      9096.00   0.16668E+02   0.00000E+00   0.16668E+02   0.16883E+02   0.16951E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.42964E+02   0.91825E+02  -0.22119E+03  -0.83772E+02   0.44062E-02   0.35842E-04   0.30434E-02       0.16     189.79     0.0000  0.00   0.20216E+00   0.77479E+00    16.8573    16.8961    16.9036    16.9130    16.9421
   2019      7     16   12.00      9120.00   0.15513E+02   0.00000E+00   0.15513E+02   0.15856E+02   0.15933E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.54467E+02   0.12028E+03  -0.25105E+03  -0.85215E+02   0.66779E-02   0.11651E-03   0.14497E-01       0.16     174.10     0.0000  0.00  -0.19907E+00   0.12925E+02    15.8230    15.8760    15.8850    15.8943    15.9197
   2019      7     17   12.00      9144.00   0.14291E+02   0.00000E+00   0.14291E+02   0.14620E+02   0.14713E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.59433E+02   0.10908E+03  -0.22210E+03  -0.76607E+02   0.11435E-01   0.57961E-03   0.10683E+00       0.16     142.60     0.0000  0.00  -0.11780E+01   0.30641E+02    14.5851    14.6393    14.6531    14.6619    14.6846
   2019      7     18   12.00      9168.00   0.13367E+02   0.00000E+00   0.13367E+02   0.13675E+02   0.13772E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.57975E+02   0.99171E+02  -0.19880E+03  -0.77870E+02   0.11790E-01   0.60606E-03   0.13176E+00       0.16     146.61     0.0000  0.00  -0.28315E+00   0.46244E+02    13.6379    13.6926    13.7132    13.7225    13.7491
   2019      7     19   12.00      9192.00   0.12787E+02   0.00000E+00   0.12787E+02   0.12983E+02   0.13051E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.53465E+02   0.83155E+02  -0.18082E+03  -0.81996E+02   0.86841E-02   0.38178E-03   0.47417E-01       0.16     160.06     0.0000  0.00  -0.80092E-02   0.25656E+02    12.9575    12.9948    13.0052    13.0132    13.0386
   2019      7     20   12.00      9216.00   0.12606E+02   0.00000E+00   0.12606E+02   0.12742E+02   0.12797E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.31862E+02   0.48568E+02  -0.12920E+03  -0.68515E+02   0.43996E-02   0.41133E-04   0.37812E-02       0.17     140.70     0.0000  0.00  -0.15517E+00   0.55428E+01    12.7203    12.7517    12.7577    12.7643    12.7945
   2019      7     21   12.00      9240.00   0.12683E+02   0.00000E+00   0.12683E+02   0.12781E+02   0.12833E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.21958E+02   0.38057E+02  -0.10673E+03  -0.60541E+02   0.31762E-02   0.23574E-04   0.19035E-02       0.17     131.72     0.0000  0.00   0.61686E-01  -0.27123E+01    12.7665    12.7869    12.7916    12.7967    12.8327
   2019      7     22   12.00      9264.00   0.12808E+02   0.00000E+00   0.12808E+02   0.12910E+02   0.12964E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.26895E+02   0.39069E+02  -0.10332E+03  -0.62715E+02   0.44983E-02   0.92913E-04   0.13761E-01       0.17     144.70     0.0000  0.00  -0.32487E-01   0.58080E+01    12.8960    12.9159    12.9210    12.9267    12.9611
   2019      7     23   12.00      9288.00   0.12700E+02   0.00000E+00   0.12700E+02   0.12872E+02   0.12928E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.45777E+02   0.63893E+02  -0.14268E+03  -0.66872E+02   0.10393E-01   0.61038E-03   0.80271E-01       0.17     149.34     0.0000  0.00  -0.46012E-01   0.37127E+02    12.8562    12.8806    12.8874    12.8942    12.9149
   2019      7     24   12.00      9312.00   0.12713E+02   0.00000E+00   0.12713E+02   0.12822E+02   0.12880E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.25002E+02   0.38485E+02  -0.10864E+03  -0.64778E+02   0.40646E-02   0.84866E-04   0.73824E-02       0.17     151.95     0.0000  0.00   0.78215E-01   0.66716E+01    12.8083    12.8282    12.8331    12.8386    12.8777
   2019      7     25   12.00      9336.00   0.12802E+02   0.00000E+00   0.12802E+02   0.12940E+02   0.12993E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.32573E+02   0.43842E+02  -0.12668E+03  -0.64887E+02   0.46086E-02   0.29896E-04   0.27879E-02       0.17     152.55     0.0000  0.00   0.16548E+00  -0.58101E+01    12.9177    12.9501    12.9559    12.9625    12.9915
   2019      7     26   12.00      9360.00   0.12908E+02   0.00000E+00   0.12908E+02   0.13013E+02   0.13063E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.33639E+02   0.34279E+02  -0.10517E+03  -0.61571E+02   0.51930E-02   0.33761E-04   0.41210E-02       0.17     149.79     0.0000  0.00   0.30390E+00  -0.46305E+01    12.9952    13.0207    13.0258    13.0320    13.0612
   2019      7     27   12.00      9384.00   0.13328E+02   0.00000E+00   0.13328E+02   0.13377E+02   0.13432E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.28172E+02   0.20185E+02  -0.70355E+02  -0.55448E+02   0.46261E-02   0.24505E-04   0.26314E-02       0.17     147.82     0.0000  0.00   0.28340E+00  -0.23324E+00    13.3676    13.3806    13.3839    13.3884    13.4315
   2019      7     28   12.00      9408.00   0.14023E+02   0.00000E+00   0.14023E+02   0.14048E+02   0.14102E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.24547E+02   0.17150E+02  -0.59763E+02  -0.53916E+02   0.35089E-02   0.14486E-04   0.10386E-02       0.17     157.37     0.0000  0.00   0.11375E+00   0.31038E+01    14.0429    14.0493    14.0516    14.0556    14.1017
   2019      7     29   12.00      9432.00   0.14754E+02   0.00000E+00   0.14754E+02   0.14785E+02   0.14837E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.24010E+02   0.20352E+02  -0.66309E+02  -0.52807E+02   0.22963E-02   0.10300E-04   0.63106E-03       0.17     162.36     0.0000  0.00  -0.32471E-01  -0.76423E+00    14.7806    14.7862    14.7885    14.7925    14.8372
   2019      7     30   12.00      9456.00   0.15001E+02   0.00000E+00   0.15001E+02   0.15113E+02   0.15156E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.44699E+02   0.40814E+02  -0.10931E+03  -0.53061E+02   0.48799E-02   0.40730E-04   0.40571E-02       0.17     152.61     0.0000  0.00  -0.94368E-01  -0.82880E+01    15.0960    15.1206    15.1253    15.1307    15.1539
   2019      7     31   12.00      9480.00   0.15090E+02   0.00000E+00   0.15090E+02   0.15194E+02   0.15243E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.43671E+02   0.41043E+02  -0.11150E+03  -0.54127E+02   0.44037E-02   0.29829E-04   0.29511E-02       0.17     151.60     0.0000  0.00   0.20780E+00  -0.19178E+01    15.1774    15.2015    15.2060    15.2111    15.2416
   2019      8      1   12.00      9504.00   0.14921E+02   0.00000E+00   0.14921E+02   0.15077E+02   0.15129E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.56140E+02   0.56508E+02  -0.14001E+03  -0.58302E+02   0.58479E-02   0.70540E-04   0.93233E-02       0.17     152.37     0.0000  0.00   0.14382E+00   0.96809E+01    15.0539    15.0881    15.0943    15.1006    15.1226
   2019      8      2   12.00      9528.00   0.14736E+02   0.00000E+00   0.14736E+02   0.14861E+02   0.14909E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.37630E+02   0.49473E+02  -0.12186E+03  -0.51803E+02   0.45775E-02   0.83320E-04   0.98286E-02       0.18     132.76     0.0000  0.00   0.86200E-01  -0.86923E+00    14.8436    14.8688    14.8741    14.8791    14.9060
   2019      8      3   12.00      9552.00   0.14019E+02   0.00000E+00   0.14019E+02   0.14250E+02   0.14310E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.32706E+02   0.82351E+02  -0.15498E+03  -0.46547E+02   0.90097E-02   0.38240E-03   0.46075E-01       0.18      99.26     0.0000  0.00  -0.54183E-01  -0.26067E+02    14.2268    14.2628    14.2712    14.2777    14.2949
   2019      8      4   12.00      9576.00   0.13502E+02   0.00000E+00   0.13502E+02   0.13619E+02   0.13661E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.57722E+01   0.47007E+02  -0.10003E+03  -0.41403E+02   0.53069E-02   0.16299E-03   0.16512E-01       0.18      88.26     0.0000  0.00  -0.98775E-01   0.98484E+00    13.6048    13.6258    13.6308    13.6352    13.6585
   2019      8      5   12.00      9600.00   0.12958E+02   0.00000E+00   0.12958E+02   0.13311E+02   0.13612E+02   0.00000E+00   0.00000E+00   0.66962E+00  -0.63522E+00   0.55241E+02  -0.11169E+03  -0.40336E+02   0.53260E-02   0.11737E-03   0.13207E-01       0.18     100.74     0.0000  0.00  -0.47084E-01   0.66485E+01    13.0633    13.3937    13.5736    13.5777    13.6095
   2019      8      6   12.00      9624.00   0.11811E+02   0.00000E+00   0.11811E+02   0.12931E+02   0.14071E+02   0.00000E+00   0.00000E+00   0.66962E+00  -0.59380E+01   0.49724E+02  -0.10905E+03  -0.39469E+02   0.42717E-02   0.18943E-04   0.46206E-02       0.18     111.51     0.0000  0.00  -0.14336E+00  -0.54291E+01    11.9037    13.2615    14.0308    14.0345    14.0709
   2019      8      7   12.00      9648.00   0.11261E+02   0.00000E+00   0.11261E+02   0.12794E+02   0.14382E+02   0.00000E+00   0.00000E+00   0.66962E+00  -0.80667E+01   0.32783E+02  -0.97005E+02  -0.39485E+02   0.38935E-02   0.73632E-05   0.15962E-02       0.18     113.05     0.0000  0.00   0.12885E+00  -0.39278E+01    11.3503    13.2576    14.3410    14.3448    14.3815
   2019      8      8   12.00      9672.00   0.11016E+02   0.00000E+00   0.11016E+02   0.12744E+02   0.14560E+02   0.00000E+00   0.00000E+00   0.66962E+00  -0.85334E+01   0.27129E+02  -0.82261E+02  -0.38297E+02   0.40464E-02   0.70252E-05   0.19871E-02       0.18     109.32     0.0000  0.00  -0.78464E-01  -0.59783E+01    11.0878    13.2746    14.5203    14.5242    14.5596
   2019      8      9   12.00      9696.00   0.11215E+02   0.00000E+00   0.11215E+02   0.12888E+02   0.14675E+02   0.00000E+00   0.00000E+00   0.66962E+00  -0.59082E+01   0.19407E+02  -0.57051E+02  -0.35826E+02   0.40960E-02   0.67355E-05   0.20194E-02       0.18     102.69     0.0000  0.00  -0.13769E+00  -0.55823E+01    11.2573    13.4082    14.6378    14.6415    14.6750
   2019      8     10   12.00      9720.00   0.11767E+02   0.00000E+00   0.11767E+02   0.13206E+02   0.14759E+02   0.00000E+00   0.00000E+00   0.66962E+00  -0.35470E+01   0.21226E+02  -0.41863E+02  -0.31641E+02   0.48754E-02   0.10378E-04   0.43712E-02       0.18      92.37     0.0000  0.00  -0.20500E+00  -0.78610E+01    11.7915    13.6560    14.7248    14.7285    14.7593
   2019      8     11   12.00      9744.00   0.12141E+02   0.00000E+00   0.12141E+02   0.13455E+02   0.14855E+02   0.00000E+00   0.00000E+00   0.66962E+00  -0.44771E+01   0.33928E+02  -0.56149E+02  -0.30693E+02   0.59019E-02   0.24867E-04   0.87489E-02       0.18      91.17     0.0000  0.00  -0.18205E+00  -0.12833E+02    12.1831    13.8607    14.8227    14.8263    14.8551
   2019      8     12   12.00      9768.00   0.12565E+02   0.00000E+00   0.12565E+02   0.13452E+02   0.14502E+02   0.00000E+00   0.00000E+00   0.66962E+00  -0.36180E+01   0.60218E+02  -0.94336E+02  -0.43318E+02   0.67418E-02   0.39639E-04   0.14598E-01       0.18     100.96     0.0000  0.00  -0.43375E-01  -0.17529E+02    12.6556    13.5593    14.3670    14.4690    14.5004
   2019      8     13   12.00      9792.00   0.12635E+02   0.00000E+00   0.12635E+02   0.13236E+02   0.14527E+02   0.00000E+00   0.00000E+00   0.66962E+00  -0.14779E+01   0.59311E+02  -0.93596E+02  -0.38223E+02   0.66002E-02   0.24558E-04   0.12223E-01       0.19     111.20     0.0000  0.00   0.27428E+00  -0.13401E+02    12.7210    12.7414    14.0630    14.4962    14.5271
   2019      8     14   12.00      9816.00   0.12475E+02   0.00000E+00   0.12475E+02   0.13236E+02   0.14960E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.64628E+00   0.48102E+02  -0.82932E+02  -0.35432E+02   0.57278E-02   0.18856E-04   0.76284E-02       0.19     109.76     0.0000  0.00   0.13584E+00  -0.10142E+02    12.5463    12.5667    14.3483    14.9315    14.9603
   2019      8     15   12.00      9840.00   0.12909E+02   0.00000E+00   0.12909E+02   0.13249E+02   0.13954E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.33459E+01   0.39153E+02  -0.83998E+02  -0.55163E+02   0.30550E-02   0.16547E-04   0.22196E-02       0.19     102.00     0.0000  0.00  -0.21057E-01  -0.13789E+01    12.9765    12.9951    13.6806    13.9106    13.9425
   2019      8     16   12.00      9864.00   0.13032E+02   0.00000E+00   0.13032E+02   0.13110E+02   0.13156E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.43434E+01   0.37884E+02  -0.79797E+02  -0.43745E+02   0.28648E-02   0.22417E-04   0.16326E-02       0.19      93.16     0.0000  0.00   0.85155E-01   0.35722E+01    13.0967    13.1163    13.1202    13.1244    13.1549
   2019      8     17   12.00      9888.00   0.13291E+02   0.00000E+00   0.13291E+02   0.13316E+02   0.13355E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.25076E+01   0.14672E+02  -0.38774E+02  -0.32217E+02   0.28604E-02   0.12029E-04   0.13530E-02       0.19      82.38     0.0000  0.00   0.13397E+00  -0.13035E+01    13.3110    13.3174    13.3194    13.3223    13.3546
   2019      8     18   12.00      9912.00   0.13664E+02   0.00000E+00   0.13664E+02   0.13675E+02   0.13710E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.30152E+01   0.11037E+02  -0.32761E+02  -0.34367E+02   0.51449E-02   0.34875E-04   0.42517E-02       0.19      99.38     0.0000  0.00   0.30955E+00  -0.45109E+01    13.6730    13.6745    13.6765    13.6790    13.7099
   2019      8     19   12.00      9936.00   0.14169E+02   0.00000E+00   0.14169E+02   0.14202E+02   0.14247E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.54569E+01   0.18859E+02  -0.53141E+02  -0.41190E+02   0.40291E-02   0.17821E-04   0.16909E-02       0.19     124.65     0.0000  0.00   0.12699E+00  -0.44368E+01    14.1953    14.2039    14.2063    14.2097    14.2468
   2019      8     20   12.00      9960.00   0.14503E+02   0.00000E+00   0.14503E+02   0.14563E+02   0.14612E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.10763E+02   0.27098E+02  -0.72699E+02  -0.45412E+02   0.42017E-02   0.21891E-04   0.18805E-02       0.19     135.56     0.0000  0.00   0.17064E+00  -0.38158E+01    14.5514    14.5674    14.5705    14.5744    14.6123
   2019      8     21   12.00      9984.00   0.14794E+02   0.00000E+00   0.14794E+02   0.14857E+02   0.14900E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.13014E+02   0.26411E+02  -0.74218E+02  -0.38490E+02   0.36243E-02   0.26639E-04   0.20286E-02       0.19     117.11     0.0000  0.00   0.63375E-01   0.30613E+01    14.8459    14.8616    14.8648    14.8681    14.8999
   2019      8     22   12.00     10008.00   0.14429E+02   0.00000E+00   0.14429E+02   0.14575E+02   0.14615E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.27386E+02   0.51321E+02  -0.10756E+03  -0.32091E+02   0.81063E-02   0.26169E-03   0.29781E-01       0.19      81.33     0.0000  0.00  -0.33711E+00   0.20493E+02    14.5573    14.5839    14.5903    14.5948    14.6098
   2019      8     23   12.00     10032.00   0.13811E+02   0.00000E+00   0.13811E+02   0.13962E+02   0.14000E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.29469E+02   0.47868E+02  -0.10054E+03  -0.28527E+02   0.90342E-02   0.33582E-03   0.42950E-01       0.20      60.06     0.0000  0.00  -0.61492E+00   0.22225E+02    13.9456    13.9712    13.9770    13.9814    13.9938
   2019      8     24   12.00     10056.00   0.13484E+02   0.00000E+00   0.13484E+02   0.13556E+02   0.13595E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.14692E+02   0.25753E+02  -0.63038E+02  -0.30534E+02   0.40910E-02   0.50067E-04   0.45697E-02       0.20      70.88     0.0000  0.00   0.23415E-02   0.30612E+01    13.5448    13.5616    13.5651    13.5682    13.5945
   2019      8     25   12.00     10080.00   0.13422E+02   0.00000E+00   0.13422E+02   0.13518E+02   0.13562E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.19578E+02   0.36745E+02  -0.88222E+02  -0.44208E+02   0.55287E-02   0.64970E-04   0.64040E-02       0.20     109.60     0.0000  0.00   0.18991E+00  -0.80260E+01    13.5026    13.5255    13.5304    13.5341    13.5616
   2019      8     26   12.00     10104.00   0.13233E+02   0.00000E+00   0.13233E+02   0.13382E+02   0.13430E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.26030E+02   0.59775E+02  -0.12330E+03  -0.49986E+02   0.67586E-02   0.16683E-03   0.14230E-01       0.20     118.98     0.0000  0.00  -0.35378E-01  -0.15869E+02    13.3640    13.3913    13.3985    13.4027    13.4264
   2019      8     27   12.00     10128.00   0.13027E+02   0.00000E+00   0.13027E+02   0.13115E+02   0.13159E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.16032E+02   0.33079E+02  -0.81366E+02  -0.39961E+02   0.34475E-02   0.43808E-04   0.35428E-02       0.20      94.81     0.0000  0.00   0.12564E-01  -0.41121E+00    13.1029    13.1212    13.1253    13.1291    13.1586
   2019      8     28   12.00     10152.00   0.12768E+02   0.00000E+00   0.12768E+02   0.12875E+02   0.12913E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.26152E+02   0.36109E+02  -0.85494E+02  -0.30731E+02   0.70255E-02   0.17791E-03   0.15897E-01       0.20      65.31     0.0000  0.00  -0.21251E+00   0.15796E+02    12.8595    12.8820    12.8881    12.8927    12.9113
   2019      8     29   12.00     10176.00   0.12453E+02   0.00000E+00   0.12453E+02   0.12555E+02   0.12597E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.19564E+02   0.30551E+02  -0.74832E+02  -0.33341E+02   0.56196E-02   0.83674E-04   0.71613E-02       0.20      72.32     0.0000  0.00  -0.66251E-01   0.10611E+02    12.5405    12.5620    12.5674    12.5706    12.5962
   2019      8     30   12.00     10200.00   0.12479E+02   0.00000E+00   0.12479E+02   0.12545E+02   0.12596E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.12168E+02   0.22837E+02  -0.72742E+02  -0.44317E+02   0.34014E-02   0.21288E-04   0.13368E-02       0.20     109.40     0.0000  0.00   0.11215E+00   0.70945E+00    12.5333    12.5503    12.5538    12.5577    12.5956
   2019      8     31   12.00     10224.00   0.12519E+02   0.00000E+00   0.12519E+02   0.12629E+02   0.12675E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.18700E+02   0.33634E+02  -0.97425E+02  -0.48478E+02   0.46019E-02   0.35015E-04   0.31823E-02       0.20     120.00     0.0000  0.00   0.38514E-02  -0.72312E+01    12.6106    12.6382    12.6432    12.6480    12.6748
   2019      9      1   12.00     10248.00   0.12394E+02   0.00000E+00   0.12394E+02   0.12501E+02   0.12548E+02   0.00000E+00   0.00000E+00   0.66962E+00   0.19254E+02   0.32164E+02  -0.91756E+02  -0.39306E+02   0.37764E-02   0.21695E-04   0.15102E-02       0.21      92.61     0.0000  0.00   0.34902E-01  -0.41697E+01    12.4820    12.5096    12.5142    12.5183    12.5480
