   2017      1     20   12.00       456.00   0.27931E+02   0.00000E+00   0.27931E+02   0.27071E+02   0.27990E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11640E+02   0.49518E+02  -0.11327E+03  -0.26344E+02   0.11712E-02   0.44381E-26   0.13072E-04       0.30     195.41     0.0000  0.00  -0.64550E-01  -0.15527E+01    27.9837    27.9893    25.9897    19.5848    18.2721
   2017      1     21   12.00       480.00   0.28146E+02   0.00000E+00   0.28146E+02   0.27226E+02   0.28202E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.89627E+01   0.46680E+02  -0.10950E+03  -0.25866E+02   0.80724E-03   0.36986E-31   0.29999E-05       0.30     230.15     0.0000  0.00  -0.53617E-01   0.37569E+00    28.1974    28.1843    26.0027    19.6176    18.3434
   2017      1     22   12.00       504.00   0.28324E+02   0.00000E+00   0.28324E+02   0.27375E+02   0.28388E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10517E+02   0.49005E+02  -0.11637E+03  -0.24689E+02   0.86888E-03   0.76261E-30   0.38963E-05       0.30     210.18     0.0000  0.00  -0.41873E-01   0.78265E+00    28.3818    28.3778    26.0464    19.6594    18.3870
   2017      1     23   12.00       528.00   0.28194E+02   0.00000E+00   0.28194E+02   0.27303E+02   0.28278E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11330E+02   0.48272E+02  -0.11658E+03  -0.23717E+02   0.33629E-03   0.82190E-29   0.15065E-06       0.30     182.36     0.0000  0.00   0.25388E-02  -0.18218E-01    28.2705    28.2775    26.0811    19.6628    18.3665
   2017      1     24   12.00       552.00   0.28086E+02   0.00000E+00   0.28086E+02   0.27207E+02   0.28151E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10193E+02   0.47152E+02  -0.11097E+03  -0.23683E+02   0.72829E-03   0.50338E-28   0.18079E-05       0.30     197.92     0.0000  0.00  -0.14734E-01  -0.57809E+00    28.1446    28.1501    26.0713    19.6508    18.3478
   2017      1     25   12.00       576.00   0.28342E+02   0.00000E+00   0.28342E+02   0.27399E+02   0.28394E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.88309E+01   0.45672E+02  -0.10962E+03  -0.23971E+02   0.92887E-03   0.34927E-31   0.45302E-05       0.30     245.94     0.0000  0.00  -0.41346E-01  -0.93705E+00    28.3892    28.3707    26.1374    19.7319    18.4218
   2017      1     26   12.00       600.00   0.28716E+02   0.00000E+00   0.28716E+02   0.27702E+02   0.28782E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10426E+02   0.51421E+02  -0.11719E+03  -0.22466E+02   0.73384E-03   0.94702E-32   0.20869E-05       0.30     215.78     0.0000  0.00  -0.10868E-01  -0.65162E+00    28.7757    28.7125    26.2563    19.8487    18.5097
   2017      1     27   12.00       624.00   0.28458E+02   0.00000E+00   0.28458E+02   0.27541E+02   0.28535E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11075E+02   0.51769E+02  -0.11282E+03  -0.21186E+02   0.58424E-03   0.11743E-28   0.66278E-06       0.30     156.82     0.0000  0.00  -0.74769E-02  -0.37155E+00    28.5270    28.5337    26.2735    19.8294    18.4504
   2017      1     28   12.00       648.00   0.28225E+02   0.00000E+00   0.28225E+02   0.27361E+02   0.28295E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10100E+02   0.47839E+02  -0.11132E+03  -0.21587E+02   0.61175E-03   0.67968E-28   0.79027E-06       0.29     182.81     0.0000  0.00  -0.23509E-01  -0.35718E+00    28.2880    28.2943    26.2586    19.8074    18.4110
   2017      1     29   12.00       672.00   0.28307E+02   0.00000E+00   0.28307E+02   0.27438E+02   0.28377E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.94961E+01   0.44546E+02  -0.11156E+03  -0.21634E+02   0.42374E-03   0.77035E-30   0.41347E-06       0.29     219.02     0.0000  0.00  -0.13376E-02   0.11220E+00    28.3710    28.3750    26.3213    19.8821    18.4787
   2017      1     30   12.00       696.00   0.28613E+02   0.00000E+00   0.28613E+02   0.27673E+02   0.28671E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.88664E+01   0.42268E+02  -0.10646E+03  -0.21210E+02   0.59239E-03   0.14797E-32   0.96568E-06       0.29     229.21     0.0000  0.00   0.13110E-01   0.42507E+00    28.6666    28.6456    26.4096    19.9809    18.5631
   2017      1     31   12.00       720.00   0.28932E+02   0.00000E+00   0.28932E+02   0.27926E+02   0.28995E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.97068E+01   0.49015E+02  -0.11439E+03  -0.20503E+02   0.67113E-03   0.41093E-32   0.14590E-05       0.29     223.72     0.0000  0.00   0.34851E-01   0.39298E+00    28.9892    28.9479    26.4887    20.0673    18.6483
   2017      2      1   12.00       744.00   0.29094E+02   0.00000E+00   0.29094E+02   0.28072E+02   0.29153E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.93279E+01   0.53470E+02  -0.12001E+03  -0.20574E+02   0.82636E-03   0.23006E-31   0.23091E-05       0.29     243.74     0.0000  0.00   0.68149E-01   0.20682E+00    29.1479    29.1365    26.5685    20.1412    18.7231
   2017      2      2   12.00       768.00   0.29343E+02   0.00000E+00   0.29343E+02   0.28297E+02   0.29413E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12494E+02   0.59905E+02  -0.13181E+03  -0.19321E+02   0.87723E-03   0.36416E-30   0.27228E-05       0.29     216.58     0.0000  0.00   0.58979E-01  -0.52350E+00    29.4062    29.3771    26.7228    20.2674    18.8293
   2017      2      3   12.00       792.00   0.29105E+02   0.00000E+00   0.29105E+02   0.28154E+02   0.29176E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12190E+02   0.60712E+02  -0.13281E+03  -0.19792E+02   0.79970E-03   0.99013E-29   0.22451E-05       0.29     234.63     0.0000  0.00   0.32928E-01  -0.63253E+00    29.1688    29.1723    26.8172    20.3024    18.8388
   2017      2      4   12.00       816.00   0.29560E+02   0.00000E+00   0.29560E+02   0.28524E+02   0.29634E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10058E+02   0.60564E+02  -0.13247E+03  -0.19875E+02   0.39470E-03   0.21948E-33   0.21006E-06       0.29     285.92     0.0000  0.00  -0.27397E-02  -0.17038E+00    29.6287    29.5625    27.0116    20.4904    19.0350
   2017      2      5   12.00       840.00   0.29739E+02   0.00000E+00   0.29739E+02   0.28722E+02   0.29831E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12021E+02   0.56562E+02  -0.12977E+03  -0.17673E+02   0.25901E-03   0.56891E-32   0.36575E-07       0.29     198.67     0.0000  0.00  -0.75357E-02  -0.19428E-01    29.8235    29.8012    27.1819    20.6194    19.1039
   2017      2      6   12.00       864.00   0.29442E+02   0.00000E+00   0.29442E+02   0.28516E+02   0.29525E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11263E+02   0.53976E+02  -0.12316E+03  -0.18253E+02   0.33203E-03   0.68757E-30   0.12784E-06       0.28     210.97     0.0000  0.00   0.39115E-02  -0.12840E+00    29.5177    29.5214    27.2408    20.6174    19.0625
   2017      2      7   12.00       888.00   0.29650E+02   0.00000E+00   0.29650E+02   0.28689E+02   0.29725E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12675E+02   0.58885E+02  -0.12798E+03  -0.17389E+02   0.69019E-03   0.10543E-29   0.11707E-05       0.28     204.52     0.0000  0.00   0.34809E-01  -0.35628E+00    29.7175    29.6988    27.3667    20.7321    19.1716
   2017      2      8   12.00       912.00   0.29213E+02   0.00000E+00   0.29213E+02   0.28374E+02   0.29283E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13618E+02   0.51415E+02  -0.11647E+03  -0.16552E+02   0.99987E-03   0.23443E-27   0.45013E-05       0.28     141.81     0.0000  0.00   0.59173E-01  -0.83535E+00    29.2747    29.2822    27.3917    20.7291    19.0742
   2017      2      9   12.00       936.00   0.29010E+02   0.00000E+00   0.29010E+02   0.28214E+02   0.29068E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11603E+02   0.48881E+02  -0.11216E+03  -0.17137E+02   0.12189E-02   0.21703E-27   0.10050E-04       0.28     186.83     0.0000  0.00   0.75043E-01  -0.13780E+01    29.0610    29.0670    27.3836    20.7463    19.0734
   2017      2     10   12.00       960.00   0.29039E+02   0.00000E+00   0.29039E+02   0.28252E+02   0.29098E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12101E+02   0.53657E+02  -0.11956E+03  -0.16674E+02   0.14653E-02   0.29380E-27   0.18946E-04       0.28     187.57     0.0000  0.00   0.14522E+00  -0.16897E+01    29.0905    29.0960    27.4427    20.8270    19.1481
   2017      2     11   12.00       984.00   0.28717E+02   0.00000E+00   0.28717E+02   0.28010E+02   0.28782E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13989E+02   0.55033E+02  -0.11921E+03  -0.15562E+02   0.17555E-02   0.16209E-25   0.34743E-04       0.28     131.45     0.0000  0.00   0.19581E+00  -0.24544E+01    28.7723    28.7807    27.4133    20.8447    19.1108
   2017      2     12   12.00      1008.00   0.28105E+02   0.00000E+00   0.28105E+02   0.27505E+02   0.28168E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.14212E+02   0.50110E+02  -0.10916E+03  -0.15110E+02   0.19628E-02   0.46773E-24   0.51222E-04       0.28      96.40     0.0000  0.00   0.26717E+00  -0.28065E+01    28.1583    28.1672    27.2002    20.7766    18.9974
   2017      2     13   12.00      1032.00   0.27510E+02   0.00000E+00   0.27510E+02   0.27007E+02   0.27570E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13395E+02   0.43723E+02  -0.96366E+02  -0.15044E+02   0.18389E-02   0.63399E-23   0.42251E-04       0.28      82.21     0.0000  0.00   0.21059E+00  -0.27079E+01    27.5603    27.5685    26.9545    20.7531    18.8828
   2017      2     14   12.00      1056.00   0.26975E+02   0.00000E+00   0.26975E+02   0.26555E+02   0.27032E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12398E+02   0.39850E+02  -0.89975E+02  -0.15036E+02   0.18751E-02   0.75561E-22   0.53882E-04       0.28      79.10     0.0000  0.00  -0.13886E+00  -0.32844E+01    27.0227    27.0307    26.6869    20.7725    18.7718
   2017      2     15   12.00      1080.00   0.26668E+02   0.00000E+00   0.26668E+02   0.26275E+02   0.26712E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.91887E+01   0.37745E+02  -0.89478E+02  -0.16055E+02   0.20600E-02   0.67289E-22   0.77800E-04       0.27     152.47     0.0000  0.00  -0.37327E+00  -0.28503E+01    26.7052    26.7068    26.4557    20.7981    18.7694
   2017      2     16   12.00      1104.00   0.27165E+02   0.00000E+00   0.27165E+02   0.26631E+02   0.27208E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.76556E+01   0.37949E+02  -0.97571E+02  -0.16563E+02   0.10218E-02   0.21005E-35   0.99106E-05       0.27     231.35     0.0000  0.00  -0.12075E+00  -0.28020E+00    27.2032    27.0707    26.5082    20.9728    18.9832
   2017      2     17   12.00      1128.00   0.27739E+02   0.00000E+00   0.27739E+02   0.27085E+02   0.27794E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.86213E+01   0.44528E+02  -0.11312E+03  -0.16042E+02   0.78056E-03   0.14291E-37   0.24122E-05       0.27     248.90     0.0000  0.00  -0.14391E-01   0.69876E+00    27.7891    27.5833    26.6396    21.1610    19.2012
   2017      2     18   12.00      1152.00   0.28256E+02   0.00000E+00   0.28256E+02   0.27499E+02   0.28309E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.78944E+01   0.46647E+02  -0.11460E+03  -0.15480E+02   0.94065E-03   0.55001E-37   0.49078E-05       0.27     249.81     0.0000  0.00   0.35536E-01   0.94683E+00    28.3043    28.0773    26.7794    21.3053    19.4015
   2017      2     19   12.00      1176.00   0.28690E+02   0.00000E+00   0.28690E+02   0.27862E+02   0.28752E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.94348E+01   0.46939E+02  -0.11266E+03  -0.14723E+02   0.69645E-03   0.13746E-36   0.24210E-05       0.27     222.34     0.0000  0.00   0.34061E-01   0.53234E+00    28.7466    28.5098    26.9203    21.4434    19.5344
   2017      2     20   12.00      1200.00   0.28717E+02   0.00000E+00   0.28717E+02   0.27959E+02   0.28792E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11683E+02   0.49202E+02  -0.11761E+03  -0.13916E+02   0.55608E-03   0.24020E-33   0.49650E-06       0.27     180.80     0.0000  0.00  -0.26645E-01   0.17828E+00    28.7855    28.6959    27.0201    21.5330    19.5730
   2017      2     21   12.00      1224.00   0.28455E+02   0.00000E+00   0.28455E+02   0.27821E+02   0.28537E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12763E+02   0.50524E+02  -0.12273E+03  -0.13790E+02   0.49309E-03   0.19629E-30   0.34569E-06       0.27     174.39     0.0000  0.00  -0.25195E-01   0.60923E-01    28.5295    28.5347    27.1201    21.5836    19.5789
   2017      2     22   12.00      1248.00   0.28343E+02   0.00000E+00   0.28343E+02   0.27762E+02   0.28419E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12304E+02   0.50523E+02  -0.12345E+03  -0.13863E+02   0.56414E-03   0.67672E-29   0.62540E-06       0.27     200.35     0.0000  0.00  -0.33665E-01  -0.19693E-02    28.4118    28.4185    27.2255    21.6524    19.6611
   2017      2     23   12.00      1272.00   0.28487E+02   0.00000E+00   0.28487E+02   0.27886E+02   0.28551E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11100E+02   0.53369E+02  -0.12804E+03  -0.14009E+02   0.85970E-03   0.40533E-29   0.24989E-05       0.27     235.93     0.0000  0.00  -0.74545E-01  -0.16023E+00    28.5450    28.5490    27.3325    21.7367    19.8109
   2017      2     24   12.00      1296.00   0.28800E+02   0.00000E+00   0.28800E+02   0.28157E+02   0.28865E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10362E+02   0.56259E+02  -0.13454E+03  -0.13831E+02   0.88007E-03   0.24733E-30   0.27836E-05       0.26     255.23     0.0000  0.00  -0.78804E-01  -0.25563E+00    28.8592    28.8558    27.4980    21.8731    20.0112
   2017      2     25   12.00      1320.00   0.29025E+02   0.00000E+00   0.29025E+02   0.28379E+02   0.29103E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11170E+02   0.55440E+02  -0.13220E+03  -0.13050E+02   0.56035E-03   0.13618E-29   0.76791E-06       0.26     223.62     0.0000  0.00   0.23802E-03  -0.15904E+00    29.0959    29.0965    27.6855    22.0192    20.1443
   2017      2     26   12.00      1344.00   0.28910E+02   0.00000E+00   0.28910E+02   0.28314E+02   0.28986E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13001E+02   0.56208E+02  -0.13120E+03  -0.12177E+02   0.87102E-03   0.31312E-27   0.24864E-05       0.26     173.20     0.0000  0.00   0.52508E-01  -0.55649E+00    28.9777    28.9855    27.7709    22.0654    20.1619
   2017      2     27   12.00      1368.00   0.28598E+02   0.00000E+00   0.28598E+02   0.28074E+02   0.28678E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12110E+02   0.56362E+02  -0.12838E+03  -0.12577E+02   0.61919E-03   0.26046E-26   0.97483E-06       0.26     186.04     0.0000  0.00   0.12512E-01  -0.42819E+00    28.6698    28.6771    27.7301    22.0437    20.1616
   2017      2     28   12.00      1392.00   0.28608E+02   0.00000E+00   0.28608E+02   0.28088E+02   0.28684E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11088E+02   0.56972E+02  -0.12689E+03  -0.12387E+02   0.62707E-03   0.14798E-26   0.98986E-06       0.26     196.30     0.0000  0.00   0.30471E-01  -0.28463E+00    28.6766    28.6834    27.7710    22.0942    20.2629
   2017      3      1   12.00      1416.00   0.28476E+02   0.00000E+00   0.28476E+02   0.27979E+02   0.28542E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11059E+02   0.57240E+02  -0.12690E+03  -0.12123E+02   0.13171E-02   0.66915E-25   0.15405E-04       0.26     177.85     0.0000  0.00   0.78556E-01  -0.16348E+01    28.5341    28.5416    27.7549    22.1076    20.2881
   2017      3      2   12.00      1440.00   0.28451E+02   0.00000E+00   0.28451E+02   0.27959E+02   0.28510E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.94217E+01   0.56795E+02  -0.12739E+03  -0.12954E+02   0.14053E-02   0.18068E-25   0.20004E-04       0.26     227.42     0.0000  0.00  -0.22463E-01  -0.21460E+01    28.5035    28.5063    27.7688    22.1580    20.3745
   2017      3      3   12.00      1464.00   0.28940E+02   0.00000E+00   0.28940E+02   0.28342E+02   0.28996E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.82432E+01   0.53793E+02  -0.12401E+03  -0.13028E+02   0.91525E-03   0.54729E-34   0.46579E-05       0.26     262.25     0.0000  0.00  -0.75760E-01  -0.65627E+00    28.9908    28.9338    27.9172    22.3101    20.5805
   2017      3      4   12.00      1488.00   0.29303E+02   0.00000E+00   0.29303E+02   0.28663E+02   0.29374E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10666E+02   0.52828E+02  -0.12456E+03  -0.11870E+02   0.65423E-03   0.18933E-31   0.86463E-06       0.25     206.01     0.0000  0.00  -0.41231E-01   0.10540E+00    29.3677    29.3204    28.0680    22.4440    20.6841
   2017      3      5   12.00      1512.00   0.29217E+02   0.00000E+00   0.29217E+02   0.28638E+02   0.29292E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.10302E+02   0.51762E+02  -0.12046E+03  -0.12354E+02   0.41030E-03   0.21497E-29   0.29289E-06       0.25     212.35     0.0000  0.00  -0.10574E-01   0.15060E+00    29.2860    29.2867    28.1539    22.4865    20.6788
   2017      3      6   12.00      1536.00   0.29701E+02   0.00000E+00   0.29701E+02   0.29012E+02   0.29774E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.90682E+01   0.57439E+02  -0.12827E+03  -0.12735E+02   0.35258E-03   0.75392E-36   0.91066E-07       0.25     263.67     0.0000  0.00   0.12100E-01   0.56020E-01    29.7689    29.6946    28.3035    22.6219    20.8589
   2017      3      7   12.00      1560.00   0.30116E+02   0.00000E+00   0.30116E+02   0.29375E+02   0.30195E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.98362E+01   0.59677E+02  -0.13607E+03  -0.12409E+02   0.37124E-03   0.40705E-34   0.10532E-06       0.25     262.12     0.0000  0.00   0.13448E-01   0.58954E-01    30.1890    30.1433    28.4803    22.7693    21.0171
   2017      3      8   12.00      1584.00   0.30491E+02   0.00000E+00   0.30491E+02   0.29702E+02   0.30565E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.11275E+02   0.63298E+02  -0.14326E+03  -0.12333E+02   0.62882E-03   0.10190E-32   0.88455E-06       0.25     269.02     0.0000  0.00   0.41786E-01  -0.28110E-01    30.5590    30.5304    28.6731    22.9136    21.1642
   2017      3      9   12.00      1608.00   0.30783E+02   0.00000E+00   0.30783E+02   0.29975E+02   0.30859E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.12801E+02   0.70551E+02  -0.15371E+03  -0.12066E+02   0.81196E-03   0.26275E-31   0.19579E-05       0.25     267.71     0.0000  0.00   0.54736E-01  -0.36579E+00    30.8514    30.8429    28.8834    23.0538    21.3118
   2017      3     10   12.00      1632.00   0.30905E+02   0.00000E+00   0.30905E+02   0.30124E+02   0.30987E+02   0.00000E+00   0.00000E+00   0.00000E+00   0.13214E+02   0.74698E+02  -0.15880E+03  -0.11824E+02   0.74182E-03   0.45440E-30   0.14778E-05       0.25     260.67     0.0000  0.00   0.35967E-01  -0.45944E+00    30.9795    30.9861    29.0917    23.1714    21.4291
